Ville,CODE_POSTAL_COMPO,PLACE_TOTAL_POUPON,PLACE_TOTAL,PROVINCE,NOM,TYPE,REGION,ADRESSE,SUBV
Amqui,G5J 3H7,5,47,QC,"CENTRE DE LA PETITE ENFANCE ""LES P'TITS FLOTS"" INC.",CPE,Bas Saint Laurent,"7, rue Saint Augustin",CR
Amqui,G5J 1H3,20,70,QC,L'ANCRAGE,CPE,Bas Saint Laurent,"15, rue Audet",CR
Cacouna,G0L 1G0,5,21,QC,LE PETIT PORT DE MER,CPE,Bas Saint Laurent,"470, rue Beaulieu",CR
Causapscal,G0J 1J0,5,21,QC,L'ENFANT RIT INC.,CPE,Bas Saint Laurent,"154, rue Saint Luc C.P. 66",CR
Dégelis,G5T 1Y6,10,50,QC,"CENTRE DE LA PETITE ENFANCE ""LES CALINOURS"" INSTALLATION DÉGELIS",CPE,Bas Saint Laurent,"113, 7e Rue Est",CR
L'Isle Verte,G0L 1K0,10,34,QC,CENTRE DE LA PETITE ENFANCE DES CANTONS DE RIVIÈRE DU LOUP,CPE,Bas Saint Laurent,"10, rue Verreault",CR
La Pocatière,G0R 1Z0,0,50,QC,LES SERVICES DE GARDE LA FARANDOLE,CPE,Bas Saint Laurent,"405, 10e Avenue Potvin",CR
La Pocatière,G0R 1Z0,20,54,QC,LES SERVICES DE GARDE LA FARANDOLE,CPE,Bas Saint Laurent,"400, 3e Rue Fraser",CR
La Pocatière,G0R 1Z0,0,44,QC,PETITE ÉCOLE MONTESSORI DE LA POCATIÈRE,GARD,Bas Saint Laurent,"100, 4e avenue Painchaud",CR
Matane,G4W 1K9,20,70,QC,CPE L¿ESCOUADE DES BESTIOLES,CPE,Bas Saint Laurent,"494, avenue Saint Rédempteur",CR
Matane,G4W 3T1,20,80,QC,L'ÉQUIPAGE DES PETITS,CPE,Bas Saint Laurent,"145, boulevard Dion",CR
Matane,G4W 3J4,0,60,QC,LA MARMAILLE,CPE,Bas Saint Laurent,"335, rue de la Gare",CR
Matane,G4W 2X7,10,68,QC,LES P'TITS LOUPS DE MER,CPE,Bas Saint Laurent,"210, avenue d'Amours",CR
Mont Joli,G5H 2V8,0,8,QC,CENTRE DE LA PETITE ENFANCE LA PAS R AILES,CPE,Bas Saint Laurent,"1564, boulevard Jacques Cartier",CR
Mont Joli,G5H 2M3,10,50,QC,CENTRE DE LA PETITE ENFANCE LES MINI MONTOIS,CPE,Bas Saint Laurent,"1280, rue Thibault",CR
Mont Joli,G5H 1N9,10,60,QC,CENTRE DE LA PETITE ENFANCE LES P'TITS MONTOIS,CPE,Bas Saint Laurent,"69, avenue de la Gare",CR
Métis sur Mer,G0J 1S0,5,21,QC,INSTALLATION DE MÉTIS SUR MER,CPE,Bas Saint Laurent,"24, rue du Couvent",CR
